Year,Month,Day,Period,gross load
2020,2,18,22,46.74302
2020,2,18,23,48.63461
2020,2,18,24,46.23575
2020,2,19,1,45.0489
2020,2,19,2,44.62052
2020,2,19,3,44.42558
2020,2,19,4,44.85449
2020,2,19,5,45.52816
2020,2,19,6,46.87109
2020,2,19,7,49.49587
2020,2,19,8,49.70147
2020,2,19,9,47.92275
2020,2,19,10,47.02784
2020,2,19,11,45.3536
2020,2,19,12,43.85686
2020,2,19,13,42.36497
2020,2,19,14,41.7726
2020,2,19,15,42.29237
2020,2,19,16,42.73718
2020,2,19,17,44.71614
2020,2,19,18,47.23334
2020,2,19,19,48.54218
2020,2,19,20,48.40499
2020,2,19,21,47.82368
2020,2,19,22,46.32766
2020,2,19,23,49.54969
2020,2,19,24,47.41733
2020,2,20,1,47.17397
2020,2,20,2,47.86428
2020,2,20,3,48.1371
2020,2,20,4,48.67418
2020,2,20,5,49.66869
2020,2,20,6,51.65857
2020,2,20,7,54.6408
2020,2,20,8,56.0286
2020,2,20,9,54.39735
2020,2,20,10,52.76198
2020,2,20,11,50.42178
2020,2,20,12,48.69787
2020,2,20,13,46.633
2020,2,20,14,45.25898
2020,2,20,15,44.26057
2020,2,20,16,43.54267
2020,2,20,17,44.47322
2020,2,20,18,47.60677
2020,2,20,19,51.39552
2020,2,20,20,51.85568
2020,2,20,21,51.79598
2020,2,20,22,51.08016
2020,2,20,23,54.07275
2020,2,20,24,51.31625
2020,2,21,1,50.25955
2020,2,21,2,50.1003
2020,2,21,3,50.43254
2020,2,21,4,50.98475
2020,2,21,5,51.73891
2020,2,21,6,53.23925
2020,2,21,7,55.84297
2020,2,21,8,58.2346
2020,2,21,9,56.49433
2020,2,21,10,54.38627
2020,2,21,11,51.71938
2020,2,21,12,49.26857
2020,2,21,13,47.44963
2020,2,21,14,46.00552
2020,2,21,15,44.88896
2020,2,21,16,43.75301
2020,2,21,17,44.60419
2020,2,21,18,48.22443
2020,2,21,19,52.28399
2020,2,21,20,52.58788
2020,2,21,21,52.63323
2020,2,21,22,51.64763
2020,2,21,23,53.45161
2020,2,21,24,50.22027
2020,2,22,1,48.44222
2020,2,22,2,47.94855
2020,2,22,3,47.41257
2020,2,22,4,46.91544
2020,2,22,5,47.62777
2020,2,22,6,48.78334
2020,2,22,7,51.27587
2020,2,22,8,54.78184
2020,2,22,9,54.32376
2020,2,22,10,51.06321
2020,2,22,11,48.43709
2020,2,22,12,45.99404
2020,2,22,13,44.3409
2020,2,22,14,42.99839
2020,2,22,15,42.27007
2020,2,22,16,42.51531
2020,2,22,17,44.20193
2020,2,22,18,47.87439
2020,2,22,19,50.41851
2020,2,22,20,49.59778
2020,2,22,21,48.38173
2020,2,22,22,46.33799
2020,2,22,23,47.308
2020,2,22,24,43.39978
2020,2,23,1,41.54671
2020,2,23,2,40.7511
2020,2,23,3,40.47668
2020,2,23,4,40.47629
2020,2,23,5,40.46386
2020,2,23,6,41.88666
2020,2,23,7,44.19187
2020,2,23,8,46.99539
2020,2,23,9,47.24303
2020,2,23,10,45.56527
2020,2,23,11,44.36112
2020,2,23,12,42.98171
2020,2,23,13,42.01424
2020,2,23,14,40.90144
2020,2,23,15,40.75431
2020,2,23,16,40.46351
2020,2,23,17,42.10965
2020,2,23,18,44.95819
2020,2,23,19,45.9636
2020,2,23,20,45.44635
2020,2,23,21,44.26021
2020,2,23,22,42.92706
2020,2,23,23,44.96261
2020,2,23,24,43.06879
2020,2,24,1,41.7847
2020,2,24,2,41.22997
2020,2,24,3,41.4703
2020,2,24,4,41.86643
2020,2,24,5,41.75896
2020,2,24,6,43.15543
2020,2,24,7,46.35685
2020,2,24,8,50.07478
2020,2,24,9,50.34631
2020,2,24,10,49.82674
2020,2,24,11,48.24382
2020,2,24,12,47.33305
2020,2,24,13,46.52293
2020,2,24,14,46.37288
2020,2,24,15,46.01946
2020,2,24,16,45.69444
2020,2,24,17,46.21483
2020,2,24,18,48.40649
2020,2,24,19,50.40575
2020,2,24,20,49.4267
2020,2,24,21,48.22575
2020,2,24,22,46.74148
2020,2,24,23,48.55737
2020,2,24,24,45.97319
2020,2,25,1,44.76488
2020,2,25,2,44.2359
2020,2,25,3,44.40445
2020,2,25,4,44.91237
2020,2,25,5,45.54243
2020,2,25,6,46.98959
2020,2,25,7,49.85249
2020,2,25,8,51.70175
2020,2,25,9,51.62366
2020,2,25,10,51.47978
2020,2,25,11,50.73059
2020,2,25,12,48.57316
2020,2,25,13,46.52785
2020,2,25,14,45.1246
2020,2,25,15,44.89342
2020,2,25,16,44.87791
2020,2,25,17,45.68799
2020,2,25,18,48.27766
2020,2,25,19,50.35261
2020,2,25,20,50.43363
2020,2,25,21,49.90645
2020,2,25,22,48.95842
2020,2,25,23,52.062
2020,2,25,24,50.1631
2020,2,26,1,49.65229
2020,2,26,2,49.53699
2020,2,26,3,49.73396
2020,2,26,4,50.33708
2020,2,26,5,51.00153
2020,2,26,6,53.04061
2020,2,26,7,55.33009
2020,2,26,8,56.22579
2020,2,26,9,54.55362
2020,2,26,10,52.57507
2020,2,26,11,50.22762
2020,2,26,12,48.3681
2020,2,26,13,46.9299
2020,2,26,14,46.49458
2020,2,26,15,46.289
2020,2,26,16,46.34474
2020,2,26,17,47.07682
2020,2,26,18,49.03189
2020,2,26,19,50.37933
2020,2,26,20,49.53285
2020,2,26,21,48.45203
2020,2,26,22,46.73069
2020,2,26,23,48.74296
2020,2,26,24,46.04234
2020,2,27,1,44.99807
2020,2,27,2,44.55393
2020,2,27,3,44.14898
2020,2,27,4,44.46601
2020,2,27,5,44.51368
2020,2,27,6,45.66655
2020,2,27,7,47.70864
2020,2,27,8,49.23555
2020,2,27,9,48.6258
2020,2,27,10,47.0593
2020,2,27,11,45.60761
2020,2,27,12,44.11394
2020,2,27,13,42.59798
2020,2,27,14,41.95669
2020,2,27,15,42.11947
2020,2,27,16,42.54766
2020,2,27,17,43.90119
2020,2,27,18,46.18147
2020,2,27,19,47.52024
2020,2,27,20,47.19133
2020,2,27,21,46.66933
2020,2,27,22,45.54878
2020,2,27,23,47.90115
2020,2,27,24,45.73194
2020,2,28,1,44.06169
2020,2,28,2,43.78044
2020,2,28,3,44.05928
2020,2,28,4,44.59177
2020,2,28,5,45.17511
2020,2,28,6,46.92666
2020,2,28,7,49.57108
2020,2,28,8,51.23452
2020,2,28,9,49.36821
2020,2,28,10,46.93816
2020,2,28,11,44.76256
2020,2,28,12,43.11945
2020,2,28,13,41.59306
2020,2,28,14,40.81536
2020,2,28,15,40.60709
2020,2,28,16,40.0546
2020,2,28,17,40.96572
2020,2,28,18,44.01051
2020,2,28,19,47.22574
2020,2,28,20,47.75005
2020,2,28,21,47.62254
2020,2,28,22,46.94807
2020,2,28,23,49.2477
2020,2,28,24,46.05342
2020,2,29,1,44.09628
2020,2,29,2,43.91022
2020,2,29,3,43.96052
2020,2,29,4,44.21841
2020,2,29,5,44.45858
2020,2,29,6,46.34671
2020,2,29,7,48.9612
2020,2,29,8,52.3938
2020,2,29,9,52.50853
2020,2,29,10,49.49426
2020,2,29,11,46.63141
2020,2,29,12,44.39546
2020,2,29,13,42.79578
2020,2,29,14,41.28932
2020,2,29,15,40.72558
2020,2,29,16,40.50639
2020,2,29,17,41.76627
2020,2,29,18,45.11373
2020,2,29,19,47.48787
2020,2,29,20,47.00437
2020,2,29,21,46.19666
2020,2,29,22,44.58307
2020,2,29,23,46.08244
2020,2,29,24,42.99629
2020,3,1,1,41.30944
2020,3,1,2,40.86874
2020,3,1,3,41.3166
2020,3,1,4,41.12546
2020,3,1,5,41.77295
2020,3,1,6,43.14114
2020,3,1,7,45.42179
2020,3,1,8,47.6792
2020,3,1,9,48.26329
2020,3,1,10,46.45578
2020,3,1,11,44.59818
2020,3,1,12,42.24794
2020,3,1,13,40.73852
2020,3,1,14,39.41105
2020,3,1,15,38.93399
2020,3,1,16,39.08092
2020,3,1,17,40.37134
2020,3,1,18,42.51601
2020,3,1,19,43.09344
2020,3,1,20,43.04479
2020,3,1,21,42.35505
2020,3,1,22,40.47369
2020,3,1,23,41.91297
2020,3,1,24,39.425
2020,3,2,1,38.41936
2020,3,2,2,37.8349
2020,3,2,3,37.66832
2020,3,2,4,37.86705
2020,3,2,5,38.5587
2020,3,2,6,40.18053
2020,3,2,7,43.11103
2020,3,2,8,44.98762
2020,3,2,9,44.66564
2020,3,2,10,43.79366
2020,3,2,11,43.56824
2020,3,2,12,42.69447
2020,3,2,13,41.251
2020,3,2,14,40.92062
2020,3,2,15,40.96998
2020,3,2,16,40.21964
2020,3,2,17,40.42313
2020,3,2,18,42.3669
2020,3,2,19,44.74748
2020,3,2,20,45.26962
2020,3,2,21,44.92919
2020,3,2,22,43.7809
2020,3,2,23,46.22951
2020,3,2,24,44.53094
2020,3,3,1,43.10103
2020,3,3,2,43.04775
2020,3,3,3,43.38664
2020,3,3,4,43.88056
2020,3,3,5,44.56098
2020,3,3,6,46.43871
2020,3,3,7,49.24849
2020,3,3,8,50.05689
2020,3,3,9,48.04918
2020,3,3,10,45.86494
2020,3,3,11,43.51515
2020,3,3,12,42.12569
2020,3,3,13,40.64773
2020,3,3,14,39.72629
2020,3,3,15,39.47011
2020,3,3,16,38.83346
2020,3,3,17,39.38819
2020,3,3,18,41.42421
2020,3,3,19,43.43685
2020,3,3,20,43.83047
2020,3,3,21,43.51949
2020,3,3,22,42.35472
2020,3,3,23,44.92288
2020,3,3,24,43.24268
2020,3,4,1,42.17241
2020,3,4,2,41.9365
2020,3,4,3,42.59286
2020,3,4,4,43.0959
2020,3,4,5,43.91806
2020,3,4,6,46.13359
2020,3,4,7,48.85424
2020,3,4,8,49.7321
2020,3,4,9,47.69411
2020,3,4,10,45.30126
2020,3,4,11,43.49045
2020,3,4,12,41.84942
2020,3,4,13,40.11441
2020,3,4,14,39.17953
2020,3,4,15,39.01811
2020,3,4,16,38.7135
2020,3,4,17,39.1862
2020,3,4,18,41.07455
2020,3,4,19,42.96383
2020,3,4,20,43.21862
2020,3,4,21,42.915
2020,3,4,22,41.83039
2020,3,4,23,44.00335
2020,3,4,24,41.58201
2020,3,5,1,40.489
2020,3,5,2,40.67014
2020,3,5,3,40.99865
2020,3,5,4,41.7558
2020,3,5,5,42.81653
2020,3,5,6,44.19248
2020,3,5,7,46.78513
2020,3,5,8,47.16478
2020,3,5,9,45.21903
2020,3,5,10,43.46392
2020,3,5,11,41.90565
2020,3,5,12,40.15062
2020,3,5,13,38.94812
2020,3,5,14,38.30656
2020,3,5,15,37.47432
2020,3,5,16,36.95833
2020,3,5,17,37.44355
2020,3,5,18,39.00655
2020,3,5,19,41.89761
2020,3,5,20,42.63767
2020,3,5,21,42.14975
2020,3,5,22,41.08958
2020,3,5,23,43.79627
2020,3,5,24,41.32586
2020,3,6,1,39.82831
2020,3,6,2,39.91689
2020,3,6,3,40.25582
2020,3,6,4,40.91547
2020,3,6,5,41.73345
2020,3,6,6,43.68235
2020,3,6,7,46.00953
2020,3,6,8,48.17302
2020,3,6,9,47.96883
2020,3,6,10,45.55204
2020,3,6,11,42.64208
2020,3,6,12,41.01339
2020,3,6,13,38.37903
2020,3,6,14,37.06367
2020,3,6,15,36.69716
2020,3,6,16,36.75342
2020,3,6,17,37.79142
2020,3,6,18,40.40163
2020,3,6,19,43.76558
2020,3,6,20,44.1046
2020,3,6,21,43.79892
2020,3,6,22,42.95657
2020,3,6,23,44.57315
2020,3,6,24,41.42109
2020,3,7,1,40.06612
2020,3,7,2,39.49953
2020,3,7,3,39.19566
2020,3,7,4,39.54055
2020,3,7,5,40.342
2020,3,7,6,41.60821
2020,3,7,7,44.20102
2020,3,7,8,46.84554
2020,3,7,9,46.6086
2020,3,7,10,44.35712
2020,3,7,11,41.58091
2020,3,7,12,39.4108
2020,3,7,13,38.17743
2020,3,7,14,37.43981
2020,3,7,15,36.47293
2020,3,7,16,35.58203
2020,3,7,17,37.84915
2020,3,7,18,40.75222
2020,3,7,19,43.45565
2020,3,7,20,43.73281
2020,3,7,21,42.71473
2020,3,7,22,41.56836
2020,3,7,23,42.23049
2020,3,7,24,38.91917
2020,3,8,1,36.84214
2020,3,8,3,36.10565
2020,3,8,4,36.52905
2020,3,8,5,36.81203
2020,3,8,6,37.48776
2020,3,8,7,39.05
2020,3,8,8,41.43778
2020,3,8,9,42.73843
2020,3,8,10,41.99171
2020,3,8,11,40.81248
2020,3,8,12,39.34132
2020,3,8,13,37.98874
2020,3,8,14,36.30911
2020,3,8,15,35.56698
2020,3,8,16,35.49903
2020,3,8,17,36.16156
2020,3,8,18,37.28183
2020,3,8,19,38.56097
2020,3,8,20,40.5002
2020,3,8,21,40.43519
2020,3,8,22,39.11298
2020,3,8,23,39.17707
2020,3,8,24,36.77099
2020,3,9,1,35.13754
2020,3,9,2,34.38806
2020,3,9,3,34.16614
2020,3,9,4,34.57078
2020,3,9,5,35.05861
2020,3,9,6,36.40001
2020,3,9,7,39.08032
2020,3,9,8,41.87909
2020,3,9,9,42.37621
2020,3,9,10,41.32289
2020,3,9,11,40.59089
2020,3,9,12,39.38483
2020,3,9,13,38.02146
2020,3,9,14,37.46483
2020,3,9,15,36.75238
2020,3,9,16,36.46609
2020,3,9,17,36.32065
2020,3,9,18,37.56656
2020,3,9,19,39.41238
2020,3,9,20,40.97794
2020,3,9,21,40.70889
2020,3,9,22,39.97393
2020,3,9,23,41.05603
2020,3,9,24,38.25182
2020,3,10,1,36.21645
2020,3,10,2,35.45037
2020,3,10,3,35.48533
2020,3,10,4,35.91654
2020,3,10,5,37.14236
2020,3,10,6,38.33598
2020,3,10,7,41.29598
2020,3,10,8,43.55733
2020,3,10,9,43.16331
2020,3,10,10,42.44306
2020,3,10,11,41.65277
2020,3,10,12,40.35252
2020,3,10,13,38.94816
2020,3,10,14,39.21202
2020,3,10,15,39.62032
2020,3,10,16,38.91072
2020,3,10,17,39.63095
2020,3,10,18,40.9827
2020,3,10,19,41.50573
2020,3,10,20,42.70883
2020,3,10,21,41.81531
2020,3,10,22,40.78061
2020,3,10,23,41.55451
2020,3,10,24,38.9844
2020,3,11,1,37.08488
2020,3,11,2,36.37897
2020,3,11,3,36.74512
2020,3,11,4,37.0428
2020,3,11,5,37.738
2020,3,11,6,38.91759
2020,3,11,7,41.17916
2020,3,11,8,43.33547
2020,3,11,9,43.92026
2020,3,11,10,41.52391
2020,3,11,11,39.83295
2020,3,11,12,38.34156
2020,3,11,13,37.14179
2020,3,11,14,36.47826
2020,3,11,15,38.4951
2020,3,11,16,40.14751
2020,3,11,17,39.69415
2020,3,11,18,41.17152
2020,3,11,19,42.75733
2020,3,11,20,44.01412
2020,3,11,21,43.8211
2020,3,11,22,42.82383
2020,3,11,23,42.72635
2020,3,11,24,39.91833
2020,3,12,1,38.16732
2020,3,12,2,38.22526
2020,3,12,3,38.0253
2020,3,12,4,38.09428
2020,3,12,5,38.30002
2020,3,12,6,39.57779
2020,3,12,7,42.19949
2020,3,12,8,44.81386
2020,3,12,9,45.718
2020,3,12,10,46.03262
2020,3,12,11,45.29882
2020,3,12,12,44.68937
2020,3,12,13,43.57057
2020,3,12,14,42.90844
2020,3,12,15,42.41317
2020,3,12,16,41.27998
2020,3,12,17,40.07117
2020,3,12,18,40.19408
2020,3,12,19,41.23765
2020,3,12,20,42.72614
2020,3,12,21,43.13203
2020,3,12,22,42.05807
2020,3,12,23,43.21297
2020,3,12,24,40.72196
2020,3,13,1,38.59858
2020,3,13,2,37.85416
2020,3,13,3,37.54491
2020,3,13,4,38.09708
2020,3,13,5,38.64556
2020,3,13,6,40.0982
2020,3,13,7,42.35233
2020,3,13,8,45.19586
2020,3,13,9,46.93432
2020,3,13,10,47.79133
2020,3,13,11,46.05481
2020,3,13,12,44.07619
2020,3,13,13,42.47682
2020,3,13,14,41.91472
2020,3,13,15,41.66541
2020,3,13,16,41.57186
2020,3,13,17,42.27273
2020,3,13,18,43.42983
2020,3,13,19,43.8935
2020,3,13,20,45.20107
2020,3,13,21,45.18968
2020,3,13,22,43.93259
2020,3,13,23,44.26205
2020,3,13,24,41.34208
2020,3,14,1,39.10994
2020,3,14,2,37.72247
2020,3,14,3,37.57093
2020,3,14,4,37.6089
2020,3,14,5,37.87331
2020,3,14,6,38.88752
2020,3,14,7,41.31693
2020,3,14,8,44.61755
2020,3,14,9,46.976
2020,3,14,10,47.38952
2020,3,14,11,46.34472
2020,3,14,12,44.80483
2020,3,14,13,43.33149
2020,3,14,14,42.20236
2020,3,14,15,42.06224
2020,3,14,16,40.75499
2020,3,14,17,40.20139
2020,3,14,18,41.01659
2020,3,14,19,42.06134
2020,3,14,20,44.01644
2020,3,14,21,43.95686
2020,3,14,22,43.09602
2020,3,14,23,44.08651
2020,3,14,24,41.12353
2020,3,15,1,38.88678
2020,3,15,2,38.4235
2020,3,15,3,38.37772
2020,3,15,4,38.46782
2020,3,15,5,39.03666
2020,3,15,6,40.12569
2020,3,15,7,42.05553
2020,3,15,8,44.87562
2020,3,15,9,45.12713
2020,3,15,10,44.87757
2020,3,15,11,43.44491
2020,3,15,12,41.78685
2020,3,15,13,40.30316
2020,3,15,14,38.86473
2020,3,15,15,37.22063
2020,3,15,16,36.56485
2020,3,15,17,36.64328
2020,3,15,18,37.51533
2020,3,15,19,38.4035
2020,3,15,20,39.74991
2020,3,15,21,39.91451
2020,3,15,22,39.08476
2020,3,15,23,39.65002
2020,3,15,24,37.47199
2020,3,16,1,36.31056
2020,3,16,2,36.13726
2020,3,16,3,36.34204
2020,3,16,4,36.68828
2020,3,16,5,37.41483
2020,3,16,6,39.06703
2020,3,16,7,41.60978
2020,3,16,8,44.18256
2020,3,16,9,43.78685
2020,3,16,10,42.53318
2020,3,16,11,40.99724
2020,3,16,12,40.02434
2020,3,16,13,38.90433
2020,3,16,14,37.32524
2020,3,16,15,36.56235
2020,3,16,16,35.64972
2020,3,16,17,35.17819
2020,3,16,18,34.84423
2020,3,16,19,36.73343
2020,3,16,20,38.67262
2020,3,16,21,38.55723
2020,3,16,22,37.17484
2020,3,16,23,37.85085
2020,3,16,24,35.56036
2020,3,17,1,34.37539
2020,3,17,2,34.20576
2020,3,17,3,34.66986
2020,3,17,4,35.00326
2020,3,17,5,35.62998
2020,3,17,6,36.73212
2020,3,17,7,38.94839
2020,3,17,8,41.05051
2020,3,17,9,41.76934
2020,3,17,10,40.22988
2020,3,17,11,39.09319
2020,3,17,12,37.9215
2020,3,17,13,36.82374
2020,3,17,14,35.99723
2020,3,17,15,35.34939
2020,3,17,16,34.44844
2020,3,17,17,34.19839
2020,3,17,18,34.92005
2020,3,17,19,36.12065
2020,3,17,20,37.16415
2020,3,17,21,37.58602
2020,3,17,22,36.91663
2020,3,17,23,38.17899
2020,3,17,24,35.89705
2020,3,18,1,34.76331
2020,3,18,2,34.9684
2020,3,18,3,34.921
2020,3,18,4,35.7024
2020,3,18,5,36.53975
2020,3,18,6,38.13823
2020,3,18,7,40.43765
2020,3,18,8,41.86221
2020,3,18,9,41.32388
2020,3,18,10,39.84053
2020,3,18,11,38.25802
2020,3,18,12,37.40514
2020,3,18,13,36.76991
2020,3,18,14,35.68896
2020,3,18,15,34.80719
2020,3,18,16,34.79477
2020,3,18,17,35.11045
2020,3,18,18,36.40924
2020,3,18,19,38.35728
2020,3,18,20,38.98002
2020,3,18,21,38.50114
2020,3,18,22,37.26762
2020,3,18,23,38.16141
2020,3,18,24,36.40487
2020,3,19,1,34.7568
2020,3,19,2,34.62913
2020,3,19,3,34.63735
2020,3,19,4,34.75283
2020,3,19,5,35.52856
2020,3,19,6,36.42702
2020,3,19,7,38.25575
2020,3,19,8,39.85854
